PLAYER,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
AlikaWilliams,23,62,8,13,1,2,0,2,2,14,1,0,0.21,0.234,0.29,0.524
AndrewMcCutchen,53,202,32,48,5,0,8,20,26,61,1,1,0.238,0.339,0.381,0.72
BryanReynolds,65,263,25,69,15,1,8,35,27,59,5,0,0.262,0.331,0.418,0.749
ConnorJoe,58,209,36,55,14,1,7,27,21,47,2,1,0.263,0.338,0.44,0.778
EdwardOlivares,40,127,19,30,4,0,5,20,12,30,1,0,0.236,0.301,0.386,0.687
GrantKoch,3,7,1,0,0,0,0,0,1,6,0,0,0,0.125,0,0.125
HenryDavis,27,80,8,12,4,0,0,4,13,37,0,0,0.15,0.271,0.2,0.471
JackSuwinski,54,154,17,27,5,0,5,15,19,49,5,0,0.175,0.264,0.305,0.569
JaredTriolo,56,191,15,41,4,0,3,20,21,53,4,1,0.215,0.29,0.283,0.573
JasonDelay,1,3,0,0,0,0,0,1,1,0,0,0,0,0.25,0,0.25
Ji HwanBae,8,24,5,5,0,0,0,2,2,7,2,1,0.208,0.269,0.208,0.477
JoeyBart,22,60,7,16,3,0,4,12,8,19,0,0,0.267,0.362,0.517,0.879
Ke'BryanHayes,43,162,21,41,7,0,2,15,18,35,4,0,0.253,0.328,0.333,0.661
Michael A.Taylor,50,130,14,26,4,0,1,10,9,52,5,1,0.2,0.246,0.254,0.5
NickGonzales,27,100,13,31,5,1,4,23,5,25,2,0,0.31,0.345,0.5,0.845
OneilCruz,59,223,28,55,13,1,9,25,18,80,5,1,0.247,0.303,0.435,0.738
RowdyTellez,54,147,14,32,6,0,2,15,12,35,0,0,0.218,0.28,0.299,0.579
YasmaniGrandal,24,78,6,13,3,0,2,12,2,16,1,0,0.167,0.188,0.282,0.47
