Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,41,28.9,4.57,65,2471,2199,297,537,112,10,62,282,35,10,209,524,0.244,0.315,0.389,0.704,103,855,46,29,7,25,4,444
Atlanta Braves,41,28.6,4.42,62,2322,2098,274,513,127,6,64,262,29,9,181,538,0.245,0.31,0.402,0.712,100,844,41,26,0,17,4,415
Baltimore Orioles,40,27,5.11,63,2386,2163,322,535,108,13,100,313,45,10,172,512,0.247,0.309,0.448,0.757,119,969,25,29,3,18,7,402
Boston Red Sox,42,27.3,4.46,65,2482,2226,290,550,112,18,71,280,55,19,202,630,0.247,0.316,0.409,0.726,103,911,36,31,6,15,12,459
Chicago Cubs,41,28.3,4.31,65,2443,2152,280,489,95,12,64,262,44,11,227,572,0.227,0.309,0.372,0.681,93,800,34,38,4,21,8,442
Chicago White Sox,45,28.8,3.06,65,2326,2117,199,461,97,4,53,187,39,10,164,541,0.218,0.279,0.342,0.622,78,725,51,22,10,13,0,400
Cincinnati Reds,36,27.4,4.4,65,2393,2103,286,480,96,11,64,269,96,23,220,584,0.228,0.31,0.376,0.685,94,790,37,37,12,20,2,393
Cleveland Guardians,35,26.2,5.06,63,2358,2085,319,498,104,9,70,294,57,24,201,465,0.239,0.317,0.398,0.715,106,830,44,46,6,20,16,375
Colorado Rockies,37,28.2,4.11,64,2411,2188,263,540,115,11,53,249,38,12,178,609,0.247,0.308,0.382,0.69,89,836,48,22,8,13,8,435
Detroit Tigers,35,27.3,4.12,64,2384,2149,264,490,97,19,58,252,26,7,187,564,0.228,0.295,0.372,0.667,89,799,38,25,1,18,6,415
Houston Astros,40,29,4.46,65,2462,2229,290,576,96,6,83,279,43,10,190,442,0.258,0.321,0.419,0.739,113,933,49,22,3,17,5,448
Kansas City Royals,35,27.5,4.98,65,2414,2173,324,552,119,15,66,314,63,13,186,456,0.254,0.316,0.414,0.73,105,899,37,22,10,22,12,405
Los Angeles Angels,40,27.5,3.97,64,2363,2144,254,502,89,7,72,236,55,25,180,545,0.234,0.297,0.383,0.68,92,821,40,19,4,14,1,393
Los Angeles Dodgers,43,30.3,4.95,66,2564,2256,327,577,125,11,85,313,42,10,256,549,0.256,0.335,0.434,0.769,118,979,44,25,3,21,12,493
Miami Marlins,45,27.9,3.59,64,2339,2156,230,507,83,8,50,223,35,15,139,494,0.235,0.288,0.351,0.638,79,756,57,25,6,12,7,390
Milwaukee Brewers,41,26.5,5.02,64,2466,2196,321,565,108,11,68,307,86,14,226,566,0.257,0.332,0.409,0.741,109,899,42,26,5,12,4,455
Minnesota Twins,39,29,4.23,64,2368,2118,271,484,114,12,69,254,33,9,187,549,0.229,0.301,0.391,0.692,99,829,47,40,3,19,3,409
New York Mets,44,30.4,4.35,63,2423,2176,274,527,105,6,69,261,46,8,194,503,0.242,0.312,0.391,0.703,106,851,43,33,8,11,5,454
New York Yankees,38,28.6,4.92,66,2509,2203,325,559,93,11,95,310,34,10,256,518,0.254,0.333,0.435,0.769,117,959,60,19,4,24,5,452
Oakland Athletics,46,26.7,3.61,66,2439,2192,238,481,94,9,75,226,33,11,202,637,0.219,0.291,0.373,0.664,94,818,42,23,10,12,8,435
Philadelphia Phillies,33,29.2,5.11,64,2446,2167,327,550,94,13,74,312,72,16,234,524,0.254,0.329,0.412,0.74,111,892,41,18,5,21,11,441
Pittsburgh Pirates,39,28.6,4.12,64,2451,2184,264,504,91,5,60,253,37,6,212,616,0.231,0.301,0.359,0.66,89,785,35,18,12,24,8,472
San Diego Padres,36,28.1,4.51,68,2561,2308,307,606,103,8,66,294,54,15,208,463,0.263,0.328,0.4,0.728,112,923,60,21,9,11,9,456
Seattle Mariners,38,28.8,3.8,66,2403,2143,251,474,83,7,71,243,43,11,208,659,0.221,0.299,0.366,0.665,95,784,42,36,1,13,2,422
San Francisco Giants,43,29.2,4.32,65,2453,2196,281,542,99,7,63,268,21,10,211,517,0.247,0.317,0.384,0.701,106,844,54,22,5,19,7,449
St. Louis Cardinals,36,27.6,3.95,63,2374,2113,249,494,97,6,60,233,31,10,204,534,0.234,0.306,0.371,0.676,93,783,25,24,10,19,5,452
Tampa Bay Rays,40,27.6,3.92,64,2394,2140,251,501,96,8,49,232,61,28,197,576,0.234,0.307,0.355,0.662,93,760,40,34,7,13,6,432
Texas Rangers,43,28,4.34,64,2415,2173,278,524,84,9,65,263,26,6,205,493,0.241,0.311,0.378,0.689,98,821,43,21,1,15,10,439
Toronto Blue Jays,37,29.1,3.92,64,2379,2111,251,493,108,9,54,237,34,4,223,450,0.234,0.311,0.37,0.681,97,781,50,22,6,16,2,443
Washington Nationals,35,27.6,3.94,64,2356,2103,252,487,95,5,51,235,97,26,188,518,0.232,0.303,0.354,0.657,92,745,39,35,10,18,6,400
League Average,38,28.2,4.32,64,2418,2165,279,520,101,10,67,265,47,13,202,538,0.24,0.31,0.388,0.699,100,841,43,27,6,17,6,431
League Sum,1155,28.2,4.32,1934,72555,64961,8359,15598,3039,286,2004,7943,1410,392,6047,16148,0.24,0.31,0.388,0.699,100,25221,1290,810,179,513,195,12920
